Тип прямоугольника, погрешность, результат, кол-во точек
Узкий,0.00580489,0.95,100
Узкий,0.0146277,0.958333,600
Узкий,0.000210694,0.944318,1100
Узкий,0.00911345,0.953125,1600
Узкий,0.0206637,0.925,2100
Узкий,0.0215842,0.964904,2600
Узкий,0.00486792,0.939919,3100
Узкий,0.00265035,0.942014,3600
Узкий,0.0135518,0.957317,4100
Узкий,0.00407868,0.94837,4600
Узкий,0.00509393,0.939706,5100
Узкий,0.00861102,0.936384,5600
Узкий,0.00255056,0.946926,6100
Узкий,0.00941423,0.953409,6600
Узкий,0.00798858,0.936972,7100
Узкий,0.000406694,0.944901,7600
Узкий,0.00662182,0.950772,8100
Узкий,0.000966139,0.943605,8600
Узкий,0.00975629,0.935302,9100
Узкий,0.0080106,0.952083,9600
Узкий,0.00205706,0.942574,10100
Узкий,0.000311413,0.944811,10600
Узкий,0.00091655,0.945383,11100
Узкий,0.00774439,0.951832,11600
Узкий,0.0031638,0.941529,12100
Узкий,0.00123239,0.943353,12600
Узкий,0.00226901,0.94666,13100
Узкий,0.00463716,0.948897,13600
Узкий,0.0024548,0.942199,14100
Узкий,0.00679487,0.938099,14600
Узкий,0.00256205,0.946937,15100
Узкий,0.00444752,0.948718,15600
Узкий,0.00167536,0.942935,16100
Узкий,0.00134031,0.945783,16600
Узкий,0.00325014,0.941447,17100
Узкий,0.00212034,0.94652,17600
Узкий,0.00324577,0.947583,18100
Узкий,0.00102571,0.943548,18600
Узкий,0.00202482,0.942605,19100
Узкий,0.00614647,0.938712,19600
Узкий,0.000713489,0.943843,20100
Узкий,0.00261109,0.942051,20600
Узкий,0.00216703,0.946564,21100
Узкий,0.0027414,0.947106,21600
Узкий,0.00352931,0.947851,22100
Узкий,0.00744453,0.951549,22600
Узкий,0.00588253,0.938961,23100
Узкий,0.00412256,0.948411,23600
Узкий,0.0035305,0.941183,24100
Узкий,0.00171625,0.946138,24600
Узкий,0.00126042,0.943327,25100
Узкий,0.000967341,0.943604,25600
Узкий,0.00362644,0.941092,26100
Узкий,0.00713087,0.937782,26600
Узкий,0.000983174,0.943589,27100
Узкий,0.00364712,0.947962,27600
Узкий,0.00107129,0.943505,28100
Узкий,0.00409276,0.948383,28600
Узкий,0.00198468,0.946392,29100
Узкий,0.000454569,0.944088,29600
Узкий,0.00114201,0.943439,30100
Узкий,0.00377217,0.94808,30600
Узкий,0.0010814,0.945539,31100
Узкий,0.00211939,0.946519,31600
Узкий,0.00293551,0.941745,32100
Узкий,0.00438403,0.948658,32600
Узкий,0.00267145,0.941994,33100
Узкий,0.00324468,0.947582,33600
Узкий,0.00223435,0.946628,34100
Узкий,0.00326021,0.941438,34600
Узкий,0.000114719,0.944409,35100
Узкий,0.000154296,0.944663,35600
Узкий,0.00500983,0.939785,36100
Узкий,0.00309028,0.941598,36600
Узкий,0.00198799,0.946395,37100
Узкий,0.00183298,0.942786,37600
Узкий,0.00138539,0.943209,38100
Узкий,0.00232082,0.942325,38600
Узкий,0.00198015,0.946387,39100
Узкий,0.00141381,0.943182,39600
Узкий,0.000623386,0.945106,40100
Узкий,0.00469126,0.940086,40600
Узкий,0.00177986,0.946198,41100
Узкий,0.000205769,0.944712,41600
Узкий,0.00423312,0.948515,42100
Узкий,0.00106078,0.943515,42600
Узкий,0.0063883,0.950551,43100
Узкий,0.000964021,0.943607,43600
Узкий,0.000227063,0.944303,44100
Узкий,0.00383892,0.940891,44600
Узкий,0.000200126,0.944706,45100
Узкий,0.00275752,0.947122,45600
Узкий,0.00296282,0.947316,46100
Узкий,0.00330571,0.947639,46600
Узкий,0.000320533,0.944214,47100
Узкий,0.00442665,0.940336,47600
Узкий,0.00104495,0.945504,48100
Узкий,0.00286394,0.947222,48600
Узкий,0.00273944,0.94193,49100
Узкий,0.00452415,0.94879,49600
Узкий,0.00177643,0.942839,50100
Узкий,0.000129317,0.944639,50600
Узкий,0.00362227,0.941096,51100
Узкий,0.000940491,0.943629,51600
Узкий,0.00316191,0.941531,52100
Узкий,0.000761931,0.943798,52600
Узкий,0.000824714,0.943738,53100
Узкий,0.000590035,0.94396,53600
Узкий,0.00509547,0.94933,54100
Узкий,0.00187823,0.946291,54600
Узкий,0.00245753,0.942196,55100
Узкий,0.00125858,0.945706,55600
Узкий,0.000234284,0.944296,56100
Узкий,0.000134171,0.94439,56600
Узкий,0.00121577,0.945665,57100
Узкий,0.00232868,0.942318,57600
Узкий,0.0028737,0.941803,58100
Узкий,0.00139944,0.943195,58600
Узкий,0.00116953,0.945622,59100
Узкий,0.00347687,0.941233,59600
Узкий,0.00148888,0.945923,60100
Узкий,0.00154633,0.945978,60600
Узкий,0.00502513,0.939771,61100
Узкий,0.000318115,0.944217,61600
Узкий,0.00167051,0.946095,62100
Узкий,0.00034715,0.944189,62600
Узкий,0.00185044,0.942769,63100
Узкий,0.0028723,0.941804,63600
